电视频道,#genre#

CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8

CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8

CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8

CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8

CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8


CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8

CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8

CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8

CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8

CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8

CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8

CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8

CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8

CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8

CCTV15,http://iptv.huuc.edu.cn/hls/cctv15hd.m3u8

CCTV16,http://iptv.huuc.edu.cn/hls/cctv16hd.m3u8

CCTV17,http://iptv.huuc.edu.cn/hls/cctv17hd.m3u8

东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8

东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8

四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8

湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8

东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8

广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8

江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8


浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8

深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8

北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8

中天新闻,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8

POPC,http://aktv_stream1.m16tv.cfd/stream/aktv/popc/AKTV.m3u8

Animax,http://aktv_stream1.m16tv.cfd/stream/aktv3/animaxhk/AKTV.m3u8

东森新闻,http://aktv_stream1.m16tv.cfd/stream/aktv2/null/AKTV.m3u8

中天新闻,http://aktv_stream1.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8

TVB PLUS,http://aktv_stream1.m16tv.cfd/stream/aktv/tvbplus/AKTV.m3u8

明珠台,http://aktv_stream1.m16tv.cfd/stream/aktv/null-2/AKTV.m3u8

無線新聞台,http://aktv_stream1.m16tv.cfd/stream/aktv/null-1/AKTV.m3u8

美亞電影台,http://aktv_stream1.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8

翡翠台,http://aktv_stream1.m16tv.cfd/stream/aktv/null/AKTV.m3u8

凤凰香港,http://aktv_stream1.m16tv.cfd/stream/aktv/null-5/AKTV.m3u8



凤凰中文,http://uno.ip-ddns.com/1.php
凤凰中文,http://ali.hlspull.yximgs.com/live/qwt_fhzw.flv

凤凰资讯,http://uno.ip-ddns.com/1.php?id=info
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx

凤凰中文,http://aktv_stream1.m16tv.cfd/stream/aktv/null-3/AKTV.m3u8

凤凰资讯,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
